"name","id"
Csoma-Szabadi,442
Nagyberki,443
Baté,444
Kaposhomok,445
Taszár,446
Kaposszentjakab,447
Kaposvár,448
Kaposújlak,449
Kaposmérő,450
Kaposfő,451
Kiskorpád,452
Jákó-Nagybajom,453
Kutas,454
Beleg,455
Ötvöskónyi,456
Somogyszob,457
Bolhás,458
Szenta,459
Zrínyitelep,460
Csurgó,461
Porrogszentkirály,462
Gyékényes,463
Adony,464
Kulcs,466
Rácalmás,467
Dunaújváros külső,468
Dunaújváros,469
Újvenyim,471
Mezőfalva,472
Nagykarácsony felső,478
Nagykarácsony,479
Alap,480
Cece,481
Vajta,482
Rétszilas alsó,483
Nagydorog,484
Tengelic,487
Fácánkert,489
Tolna-Mözs,490
Szekszárd-Palánk,491
Szekszárd,492
Őcsény,493
Decs,494
Csikóstőttős,510
Mágocs-Alsómocsolád,511
Szalatnak,512
Máza-Szászvár,514
Váralja,515
Nagymányok,516
Hidas-Bonyhád,517
Mőcsény,519
Bátaszék,522
Pörböly,523
Baja-Dunafürdő,524
Kaposszekcső,525
Vásárosdombó,526
Sásd,527
Godisa,528
Abaliget,529
Hetvehely,530
Bükkösd,531
Cserdi-Helesfa,532
Szentlőrinc,533
Bicsérd,534
Mecsekalja-Cserkút,535
Pécs,536
Pécs-Külváros,537
Pécsbánya-Rendező,538
Pécsudvard,539
Szőkéd,540
Áta,541
Kistótfalu,542
Vokány,543
Palkonya,544
Villánykövesd,545
Villány,546
Magyarbóly,547
Magyarhertelend,548
Magyarszék,549
Mecsekpölöske,550
Mecsekjánosi,551
Komló,553
Királyegyháza-Rigópuszta,554
Sumony,555
Okorág-Kárászpuszta,556
Kákics,557
Palotabozsok,568
Bóly,570
Mohács,571
Sellye,578
Toponár,591
Somogyaszaló,592
Mernye,593
Felsőmocsolád,594
Kisbárapáti,595
Bonnya,596
Andocs,597
Karád,598
Somogymeggyes,599
Kapoly,600
Tab,601
Bábonymegyer,602
Daránypuszta,603
Som-Nagyberény,604
Ádánd,605
Siójut,606
Kapostüskevár,607
Kaposfüred,608
Várda,609
Somogyjád,610
Osztopán,611
Pamuk,612
Somogyvár,613
Öreglak,614
Tatárvár,615
Lengyeltóti,616
Pusztaberény,617
Nagyatád,627
Budapest-Keleti,635
Ferencváros,636
Budapest-Nyugati,637
Kőbánya felső,641
Rákos,642
Rákosrendező,643
Zugló,644
Soroksári út,646
Angyalföld,647
Istvántelek,648
Rákospalota-Újpest,649
Kőbánya alsó,650
Kőbánya-Kispest,652
Pestszentlőrinc,653
Kispest,654
Újpest,655
Pesterzsébet,658
Soroksár,659
Pestszentimre felső,661
Dunakeszi,663
Dunakeszi-Gyártelep,665
Alsógöd,666
Göd,667
Felsőgöd,668
Sződ-Sződliget,669
Vác,670
Verőce,671
Kismaros,672
Nagymaros-Visegrád,673
Nagymaros,674
Zebegény,675
Szob,676
Alagimajor,677
Fót,678
Fótújfalu,679
Csomád,680
Veresegyház,681
Erdőkertes,682
Őrbottyán,683
Váchartyán,684
Magyarkút-Verőce,685
Szokolya,686
Berkenye,687
Nógrád,688
Diósjenő,689
Borsosberény,690
Nagyoroszi,691
Drégelyvár,692
Drégely,693
Drégelypalánk,694
Ipolyvece,695
Dejtár,696
Ipolyszög,697
Iklad-Domony,702
Iklad-Domony felső,703
Galgamácsa,704
Vácrátót,705
Csörög,706
Galgagyörk,707
Püspökhatvan,708
Acsa-Erdőkürt,709
Galgaguta,710
Nógrádkövesd,711
Magyarnándor,712
Mohora,713
Szügy,714
Balassagyarmat,715
Őrhalom,716
Hugyag,717
Szécsény,718
Ludányhalászi,719
Nógrádszakál,720
Ráróspuszta,721
Litke,722
Ipolytarnóc,723
Rákosliget,724
Rákoscsaba-Újtelep,725
Rákoscsaba,726
Pécel,727
Isaszeg,728
Gödöllő,729
Máriabesnyő,730
Bag,731
Aszód,732
Hévízgyörk,733
Galgahévíz,734
Tura,735
Hatvan,736
Hort-Csány,738
Vámosgyörk,739
Adács,740
Karácsond,741
Ludas,742
Nagyút,743
Kál-Kápolna,744
Füzesabony,745
Szihalom,746
Mezőkövesd,747
Mezőkövesd felső,748
Mezőkeresztes-Mezőnyárád,749
Csincse,750
Emőd,751
Nyékládháza,752
Miskolc-Tiszai,754
Felsőzsolca,755
Hernádnémeti-Bőcs,756
Tiszalúc,757
Taktaharkány,758
Taktaszada,759
Szerencs,760
Mezőzombor,761
Tarcal,762
Tokaj,763
Rakamaz,764
Görögszállás,765
Nyírtelek,766
Rákoshegy,767
Ecser,768
Maglód,769
Maglódi nyaraló,770
Gyömrő,771
Mende,772
Szőlősnyaraló,773
Sülysáp,774
Tápiószecső,775
Szentmártonkáta,776
Nagykáta,777
Farmos,778
Tápiószele,779
Tápiógyörgye,780
Újszász,781
Szurdokpüspöki,782
Mátravidéki Erőmű,783
Lőrinci,784
Selyp,785
Apc-Zagyvaszántó,786
Pásztó,787
Mátraszőlős-Hasznos,788
Tar,789
Mátraverebély,790
Nagybátony,791
Kisterenye,792
Kisterenye-Bányatelep,793
Salgótarján külső,794
Zagyvapálfalva,795
Salgótarján,796
Somoskőújfalu,797
Jászfényszaru,798
Pusztamonostor,799
Jászberény,800
Meggyespele,801
Portelek,802
Jászboldogháza-Jánoshida,803
Jászárokszállás,805
Jászdózsa,806
Jászapáti,807
Jászkisér,808
Jászladány,810
Szászberek,811
Gyöngyöshalász,812
Gyöngyös,813
Homokterenye,825
Mátranovák-Homokterenye,826
Erdőtelek,827
Heves,828
Hevesvezekény,829
Tarnaszentmiklós,830
Kisköre,831
Abádszalók,832
Kunhegyes,834
Kenderes,835
Maklár,837
Andornaktálya,838
Eger,839
Egervár,840
Eger-Felnémet,841
Szarvaskő,842
Mónosbél,843
Bélapátfalva,844
Bélapátfalvi Cementgyár,845
Szilvásvárad,846
Hejőkeresztúr,851
Tiszaújváros,852
Miskolc-Gömöri,860
Sajókeresztúr,862
Sajóecseg,863
Sajószentpéter-Piactér,865
Sajószentpéter,866
Berente,867
Kazincbarcika,869
Sajókaza,870
Vadna,871
Dubicsány,872
Putnok,873
Bánréve,874
Sajónémeti,875
Ózd alsó,877
Ózd,878
Alsóboldva,879
Boldva,880
Borsodszirák,881
Edelény alsó,882
Edelény,883
Szendrőlád,884
Szendrő,885
Szendrő felső,886
Szalonna,887
Perkupa,888
Szemeretelep,889
Jósvafő-Aggtelek,890
Bódvaszilas,891
Komjáti,892
Tornanádaska,893
Onga,900
Szikszó-Vásártér,902
Szikszó,903
Aszaló,904
Halmaj,905
Csobád,906
Ináncs,907
Forró-Encs,908
Méra,909
Novajidrány,910
Hernádvécse,911
Hernádszurdok,912
Hidasnémeti,913
Mád,914
Rátka,915
Tállya,916
Golop,917
Abaújszántó,918
Abaújszántói fürdő,919
Abaújkér,920
Boldogkőváralja,921
Korlát-Vizsoly,922
Fony,923
Hejce-Vilmány,924
Göncruszka,925
Gönc,926
Zsujta,927
Bodrogkeresztúr,928
Szegi,929
Erdőbénye,930
Olaszliszka-Tolcsva,931
Bodrogolaszi,932
Sárospatak,933
Sátoraljaújhely,934
Vecsés,935
Vecsés-Kertekalja,936
Üllő,937
Monor,938
Pilis,939
Albertirsa,940
Ceglédbercel-Cserő,941
Cegléd,942
Abony,943
Szolnok,944
Szajol,946
Törökszentmiklós,947
Fegyvernek-Örményes,949
Kisújszállás,951
Karcag,953
Püspökladány,955
Kaba,956
Hajdúszoboszló,957
Ebes,958
Debrecen,959
Debrecen-Csapókert,960
Apafa,961
Bocskaikert,962
Hajdúhadház,963
Téglás,964
Kismicske,965
Újfehértó,966
Nyíregyháza,968
Sóstó,969
Sóstóhegy,970
Kemecse,971
Nyírbogdány,972
Kék,973
Demecser,974
Gégény,975
Pátroha,976
Ajak,977
Kisvárda,978
Kisvárda-Hármasút,979
Fényeslitke,980
Komoró,981
Tuzsér,982
Tiszabezdéd,983
Záhony,984
Karcag-Vásártér,986
Berekfürdő,987
Kunmadaras,988
Tiszaszentimre,989
Tiszaszőlős,990
Hosszúhát,992
Szerep,993
Sárrétudvari,994
Biharnagybajom,995
Füzesgyarmat,996
Füzesgyarmatfürdő,997
Báránd,998
Sáp,999
Berettyóújfalu,1000
Mezőpeterd,1001
Biharkeresztes,1002
Tócóvölgy,1003
Nagyhát,1007
Balmazújváros,1008
Kónya,1009
Hortobágy,1010
Hortobágyi Halastó,1011
Ohat-Pusztakócs,1012
Egyek,1013
Tiszafüred,1014
Poroszló,1015
Kétútköz,1016
Egerfarmos,1017
Mezőtárkány,1018
Józsa,1020
Hajdúszentgyörgy,1021
Zelemér,1022
Hajdúböszörmény,1023
Hajdúvid,1024
Hajdúdorog,1025
Hajdúnánás,1026
Hajdúnánás-Vásártér,1027
Tedej,1028
Tiszavasvári,1029
Egyházerdő,1030
Tiszalök,1040
Hajnalos,1041
Kisfástanya,1042
Tiszaeszlár,1043
Bashalom,1044
Sáránd,1046
Derecske,1047
Derecske-Vásártér,1048
Konyár,1049
Konyári Sóstófürdő,1050
Pocsaj-Esztár,1051
Kismarja,1052
Nagykereki,1053
Debrecen-Szabadságtelep,1058
Debrecen-Kondoros,1059
Nagycsere,1060
Haláp,1061
Vámospércs,1062
Szentannapuszta,1063
Nyírábrány,1064
Dombostanya,1065
Hajdúsámson,1066
Tamásipuszta,1067
Aradványpuszta,1068
Nyíradony,1069
Nyírmihálydi,1070
Nyírgelse,1071
Nyírbogát,1072
Nagykálló,1073
Kállósemjén,1074
Máriapócs,1075
Nyírbátor,1076
Nyírcsászári,1077
Hodász,1078
Nyírmeggyes,1079
Mátészalka,1080
Kocsord,1081
Kocsord alsó,1082
Győrtelek,1083
Győrtelek alsó,1084
Ököritófülpös,1085
Porcsalma-Tyukod,1086
Csenger,1088
Nyíregyháza külső,1092
Oros,1093
Napkor,1094
Apagy,1095
Levelek-Magy,1096
Ófehértó,1097
Ligettanya,1098
Baktalórántháza,1099
Vaja-Rohod,1100
Rákóczitanya,1101
Nyírmada,1102
Tunyogmatolcs,1103
Tunyogmatolcs alsó,1104
Fehérgyarmat,1105
Penyige,1106
Nagyszekeres,1107
Kisszekeres,1108
Jánkmajtis,1109
Gacsály,1110
Zajta,1111
Eperjeske alsó,1113
Mándok,1114
Tornyospálca,1115
Aranyosapáti,1116
Gyüre,1117
Kisvarsány,1118
Vásárosnamény,1119
Vitka,1120
Nagydobos,1121
Ópályi,1122
Nyírcsaholy,1123
Nagyecsed,1124
Tiborszállás,1125
Dunaharaszti,1127
Taksony,1128
Dunavarsány,1129
Délegyháza,1130
Kiskunlacháza,1132
Dömsöd,1133
Kunszentmiklós-Tass,1134
Bösztör,1135
Szabadszállás,1136
Fülöpszállás,1137
Soltszentimre,1138
Csengőd,1139
Kiskőrös,1140
Soltvadkert,1142
Pirtói szőlők,1143
Pirtó,1144
Kiskunhalas,1145
Balotaszállás,1146
Kisszállás,1147
Tompa,1148
Kelebia,1149
Kecskemét alsó,1164
Kunfehértó,1168
Erdőszél,1169
Jánoshalma,1170
Mélykút,1171
Bácsalmás,1172
Almás,1173
Bácsbokod-Bácsborsód,1175
Baja,1178
Harkakötöny,1180
Tajó,1181
Kiskunmajsa,1182
Jászszentlászló,1183
Galambos,1184
Pestszentimre,1185
Gyál felső,1186
Gyál,1187
Ócsa,1188
Inárcs-Kakucs,1189
Dabas,1190
Gyón,1191
Hernád,1192
Örkény,1193
Táborfalva,1194
Felsőlajos,1195
Lajosmizse,1196
Lajosmizse alsó,1197
Klábertelep,1198
Méntelek,1199
Hetényegyháza,1200
Kecskemét-Máriaváros,1201
Nyársapát,1202
Nagykőrös,1203
Katonatelep,1204
Kecskemét,1205
Városföld,1206
Kiskunfélegyháza,1207
Petőfiszállás,1208
Csengele,1209
Kistelek,1210
Balástya,1211
Szatymaz,1212
Kiskundorozsma,1213
Szeged,1215
Alsóúrrét,1216
Nyárlőrinc,1217
Világoshegy,1218
Szikra,1219
Lakitelek,1220
Tiszaug,1221
Tiszasas,1222
Csépa,1223
Szelevény,1224
Gátér,1225
Kónyaszék,1226
Csongrád,1227
Hékéd,1228
Fábiánsebestyén,1229
Gádoros,1230
Justhmajor,1231
Szentetornya,1232
Gyopárosfürdő,1233
Röszke,1248
Tószeg,1250
Tiszavárkony,1251
Tiszajenő-Vezseny,1252
Újbög,1253
Tiszakécske,1254
Kerekdomb,1255
Tiszaalpár,1256
Tiszaalpár alsó,1257
Tiszatenyő,1258
Pusztapó,1259
Kétpó,1260
Csugar,1261
Mezőtúr,1262
Nagylapos,1263
Gyoma,1264
Csárdaszállás,1265
Mezőberény,1266
Murony,1267
Békéscsaba,1269
Szabadkígyós,1270
Kétegyháza,1271
Lőkösháza,1272
Kengyel,1273
Bagimajor,1274
Martfű,1275
Tiszaföldvár,1276
Homok,1277
Kungyalu,1278
Kunszentmárton,1279
Nagytőke,1281
Kistőke,1282
Szentes,1283
Szegvár,1284
Mindszent,1285
Mártély,1286
Pusztabánréve,1287
Szarvas,1288
Csabacsűd,1289
Kisszénás,1290
Kiscsákó,1292
Nagyszénás,1294
Kardoskút,1297
Tótkomlós,1299
Nagyér,1300
Pitvaros,1301
Dévaványa,1302
Körösladány,1304
Szeghalom,1305
Vésztő,1306
Szeged-Rókus,1313
Algyő,1314
Hódmezővásárhelyi Népkert,1316
Hódmezővásárhely,1317
Kútvölgy,1318
Székkutas,1319
Orosháza,1321
Orosházi tanyák,1322
Csorvás,1323
Csorvás alsó,1324
Telekgerendás,1325
Fürjes,1326
Fényes,1327
Bicere,1328
Gyula,1329
József Szanatórium,1331
Sarkadi Cukorgyár,1332
Sarkad,1333
Kötegyán,1334
Méhkerék,1335
Sarkadkeresztúr,1336
Okány,1337
Újszeged,1338
Szőreg,1339
Deszk,1340
Kiszombor,1342
Kiszombor megálló,1343
Makó,1344
Apátfalva,1345
Magyarcsanád,1346
Nagylak,1347
Nagylaki Kendergyár,1348
Csanádpalota,1349
Mezőhegyes,1350
Végegyháza,1351
Mezőkovácsháza,1352
Mezőkovácsháza felső,1353
Magyarbánhegyes,1354
Medgyesegyháza,1355
Bánkút,1356
Belsőperegpuszta,1357
Battonya,1358
Cinkota,1382
Csömör,1383
Kerepes,1384
Mogyoród,1385
Felsőjánosfa,1436
Pankasz,1437
Nagyrákos,1438
Őriszentpéter,1439
Törökbálint,1442
Bicske alsó,1446
Bajánsenye,1450
Piliscsév,1453
Tát,1454
Süttő felső,1456
Budatétény,1476
Seregélyes-Szőlőhegy,1477
Gödöllő-Állami telepek,1480
Dunakeszi alsó,1495
Vác-Alsóváros,1498
Dömösi átkelés,1501
Szob alsó,1502
Várhegyalja,1505
Rákospalota-Kertváros,1508
Táskai elágazás,1509
Táska,1513
Vicziántelep,1521
Máriaudvar,1528
Rudnaykert,1534
Székesfehérvár-Repülőtér,1535
Bánhida,1538
Magyarkút,1540
Becske alsó,1544
Hosszúberek-Péteri,1545
Monorierdő,1546
Ceglédbercel,1554
Budai út,1556
Pázmáneum,1564
Büdöskútpuszta,1565
Bánrévei Vízmű,1567
Rákoskert,1574
Szirmabesenyő,1584
Kitérőgyár,1613
Tápiószentmárton,1622
Zagyvarékas,1624
Abonyi út,1627
Dunaharaszti alsó,1628
Jászkisér felső,1635
Szellőhát,1636
Bánhalma Halastó,1639
Szilvásvárad-Szalajkavölgy,1641
Vásárosnamény külső,1650
Nagycsécs,1660
Újváros,1671
Városi park,1674
Belsőkamaráspuszta,1681
Sajószöged,1683
Kazincbarcika alsó,1686
Nyárjas,1689
Pogonyipuszta,1697
Sióvölgy,1703
Répáspuszta,1725
Virányos,1736
Füzesbokor,1737
Kisköre-Tiszahíd,1741
Rozsály,1751
Pusztakettős,1752
Kisvác,1753
Tiszafüred-Gyártelep,1754
Újkenéz,1763
Tisztavíz,1764
Püspökladány-Vásártér,1781
Végegyháza alsó,1783
Orosháza felső,1784
Ambrózfalva,1786
Alsónyék,1788
Tompapuszta,1789
Halászlak,1790
Sirató,1791
Csabacsűd felső,1792
Orosháza-Üveggyár,1794
Gyulai Városerdő,1797
Kórógyszentgyörgy,1800
Kunszállás,1805
Selymes,1806
Petőfiszállási tanyák,1807
Kisteleki szőlők,1808
Kapitányság,1809
Őszeszék,1810
Vilmaszállás,1811
Jánosszállás,1812
Felsőpakony,1813
Felsőméntelek,1815
